module,max_speed,min_speed,start_time,stop_time,total_co2,total_dist,total_time,arrived,rcvd_warnings,sent_warnings,mean_speed
node[11],16.25,6.9,27008.0,27029.0,82.3489,278.286,20.5,True,0,0,13.574926829268293
node[15],16.5004,6.9,27015.0,27035.5,84.5189,276.568,20.0,True,0,0,13.828399999999998
node[0],18.5987,6.9,27000.5,27049.0,171.3,769.415,48.0,True,0,0,16.029479166666665
node[8],19.5324,6.9,27007.0,27053.5,182.609,766.922,46.0,True,0,0,16.672217391304347
node[14],15.1412,3.5,27014.5,27061.0,144.861,590.812,46.0,True,0,0,12.843739130434782
node[13],16.25,6.9,27010.5,27065.0,176.325,748.4069999999999,54.0,True,0,0,13.859388888888887
node[9],16.0,3.5,27007.0,27067.0,186.868,856.048,59.5,True,0,0,14.387361344537815
node[20],19.6,6.9,27016.5,27068.0,188.778,747.573,51.0,True,0,0,14.658294117647058
node[16],16.7699,3.5,27015.0,27072.0,194.957,856.1519999999999,56.5,True,0,0,15.15313274336283
node[23],16.25,6.9,27018.5,27072.5,161.482,749.762,53.5,True,0,0,14.014242990654205
node[5],15.65,0.0,27003.5,27073.5,181.84799999999998,495.82099999999997,69.5,True,0,0,7.134115107913669
node[17],15.65,0.0,27015.5,27075.5,165.12400000000002,484.04900000000004,59.5,True,0,0,8.135277310924371
node[41],16.25,6.9,27039.0,27086.5,150.613,638.368,47.0,True,0,0,13.582297872340426
node[12],15.65,0.0,27008.0,27087.5,183.976,638.673,79.0,True,0,0,8.08446835443038
node[50],15.5,5.4,27052.0,27091.5,128.784,497.032,39.0,True,0,0,12.744410256410257
node[52],19.6171,5.7,27052.5,27112.0,195.283,913.711,59.0,True,0,0,15.486627118644067
node[112],15.65,6.9,27103.5,27112.5,37.1136,104.787,8.5,True,0,0,12.327882352941177
node[33],15.65,0.0,27031.5,27116.5,148.734,275.172,84.5,True,0,0,3.2564733727810653
node[47],16.4927,7.1,27050.0,27121.5,201.622,1010.05,71.0,True,0,0,14.226056338028169
node[70],15.0,0.0,27066.5,27122.0,110.973,273.15,55.0,True,0,0,4.966363636363636
node[134],15.65,6.9,27113.5,27122.5,37.477,105.04299999999999,8.5,True,0,0,12.357999999999999
node[4],16.25,0.0,27002.0,27122.5,267.827,1038.94,120.0,True,0,0,8.657833333333334
node[45],16.25,6.51785,27049.0,27126.0,222.394,1034.84,76.5,True,0,0,13.527320261437907
node[31],18.15,0.0,27028.5,27128.0,267.149,974.817,99.0,True,0,0,9.846636363636364
node[37],19.4,0.0,27034.0,27129.5,264.363,979.3810000000001,95.0,True,0,0,10.309273684210527
node[28],19.2353,0.0,27025.5,27130.0,301.491,988.1389999999999,104.0,True,0,0,9.501336538461537
node[21],15.8606,0.0,27017.5,27136.5,305.86,1190.03,118.5,True,0,0,10.042447257383966
node[22],22.2389,0.0,27017.5,27137.0,324.414,915.166,119.0,True,0,0,7.690470588235295
node[74],15.5,0.0,27068.0,27137.5,164.62,458.69699999999995,69.0,True,0,0,6.6477826086956515
node[96],15.65,1.2475100000000001,27089.0,27139.5,157.452,621.499,50.0,True,0,0,12.42998
node[48],16.25,0.0,27050.5,27143.0,257.782,1063.87,92.0,True,0,0,11.563804347826085
node[78],16.25,6.9,27071.5,27145.0,202.71400000000003,1034.89,73.0,True,0,0,14.176575342465755
node[30],21.9,0.0,27026.5,27145.5,403.24800000000005,1242.67,118.5,True,0,0,10.486666666666668
node[26],22.75,0.0,27024.0,27146.0,315.765,851.293,121.5,True,0,0,7.0065267489711935
node[3],21.2414,0.0,27001.5,27146.5,324.08099999999996,844.0219999999999,144.5,True,0,0,5.840982698961938
node[27],15.65,0.0,27024.5,27148.0,267.503,805.275,123.0,True,0,0,6.546951219512195
node[67],20.5,0.0,27063.0,27152.5,260.985,764.8380000000001,89.0,True,0,0,8.593685393258427
node[1],22.5,0.0,27000.5,27154.0,469.64099999999996,1615.76,153.0,True,0,0,10.560522875816993
node[73],19.25,0.0,27067.0,27154.0,234.899,767.987,86.5,True,0,0,8.878462427745664
node[92],20.1741,0.0,27087.5,27154.0,223.142,769.0169999999999,66.0,True,0,0,11.651772727272727
node[43],18.3017,0.0,27047.0,27155.5,249.283,767.695,108.0,True,0,0,7.108287037037037
node[107],16.25,3.5,27096.5,27156.5,199.34900000000002,857.29,59.5,True,0,0,14.408235294117647
node[66],16.3243,0.0,27062.5,27158.0,225.705,947.702,95.0,True,0,0,9.97581052631579
node[35],16.9,0.0,27033.5,27158.5,254.84599999999998,758.943,124.5,True,0,0,6.095927710843373
node[49],15.65,0.0,27051.0,27159.5,254.362,687.054,108.0,True,0,0,6.36161111111111
node[2],19.0,0.0,27001.5,27160.0,427.156,1300.35,158.0,True,0,0,8.23006329113924
node[100],15.7512,0.8729040000000001,27094.0,27161.0,186.701,752.113,66.5,True,0,0,11.30996992481203
node[19],18.5986,0.0,27016.5,27161.0,365.401,1420.19,144.0,True,0,0,9.862430555555555
node[6],19.4,0.0,27005.5,27161.0,413.03,1299.69,155.0,True,0,0,8.38509677419355
node[99],15.65,0.0,27091.5,27161.5,187.274,694.806,69.5,True,0,0,9.997208633093527
node[105],15.65,0.0,27095.5,27161.5,186.102,691.916,65.5,True,0,0,10.563603053435115
node[130],18.0,5.4,27112.5,27162.5,175.894,767.83,49.5,True,0,0,15.511717171717173
node[175],19.6,6.03643,27140.0,27165.0,89.0928,336.157,24.5,True,0,0,13.72069387755102
node[102],16.75,0.0,27095.0,27166.0,163.431,498.80800000000005,70.5,True,0,0,7.075290780141844
node[58],19.75,0.0,27058.0,27166.0,268.124,855.203,107.5,True,0,0,7.955376744186046
node[137],18.75,5.5,27118.0,27168.5,153.423,659.602,50.0,True,0,0,13.192039999999999
node[113],16.0748,6.9,27105.5,27168.5,186.778,855.687,62.5,True,0,0,13.690992
node[54],17.5,0.0,27054.5,27169.5,329.55800000000005,1131.43,114.5,True,0,0,9.881484716157205
node[79],18.342,0.0,27072.5,27170.0,244.608,859.332,97.0,True,0,0,8.859092783505155
node[115],15.0,3.5,27107.5,27171.0,185.861,859.424,63.0,True,0,0,13.641650793650793
node[97],17.9999,0.0,27089.5,27172.0,224.558,875.7919999999999,82.0,True,0,0,10.680390243902439
node[116],15.7355,4.07639,27108.0,27172.5,211.002,887.066,64.0,True,0,0,13.86040625
node[145],16.9,5.070469999999999,27121.0,27174.5,196.83700000000002,693.2769999999999,53.0,True,0,0,13.080698113207546
node[128],15.65,6.9,27112.0,27174.5,173.93200000000002,857.3839999999999,62.0,True,0,0,13.828774193548385
node[155],19.2839,6.9,27129.0,27175.5,184.72299999999998,770.6080000000001,46.0,True,0,0,16.752347826086957
node[169],16.1996,0.0,27135.5,27176.0,102.431,273.7,40.0,True,0,0,6.842499999999999
node[59],15.65,0.0,27058.5,27178.5,243.888,646.987,119.5,True,0,0,5.4141171548117155
node[65],19.25,0.0,27062.0,27178.5,316.781,978.112,116.0,True,0,0,8.432
node[64],16.6207,0.0,27061.5,27179.0,288.193,876.3960000000001,117.0,True,0,0,7.490564102564103
node[131],19.25,6.9,27112.5,27179.5,249.097,977.757,66.5,True,0,0,14.703112781954886
node[151],15.2715,2.52147,27125.0,27180.0,179.979,700.6210000000001,54.5,True,0,0,12.855431192660552
node[25],15.0988,0.0,27022.0,27182.0,301.758,773.4739999999999,159.5,True,0,0,4.8493667711598745
node[139],15.5,3.85658,27118.5,27182.0,196.83900000000003,884.836,63.0,True,0,0,14.045015873015874
node[53],19.75,0.0,27053.5,27183.0,403.80300000000005,1307.74,129.0,True,0,0,10.137519379844962
node[156],16.25,6.9,27129.5,27184.0,172.301,747.007,54.0,True,0,0,13.833462962962962
node[75],16.25,0.0,27068.5,27185.0,233.22099999999998,491.195,116.0,True,0,0,4.234439655172414
node[34],22.6772,0.0,27032.0,27186.0,406.85699999999997,1050.22,153.5,True,0,0,6.841824104234528
node[167],17.5,6.9,27134.5,27187.5,175.765,751.16,52.5,True,0,0,14.307809523809523
node[61],20.4494,0.0,27059.5,27187.5,291.3,687.941,127.5,True,0,0,5.39561568627451
node[87],16.25,0.0,27084.5,27187.5,224.778,489.416,102.5,True,0,0,4.774790243902439
node[174],18.5562,6.9,27139.0,27187.5,170.19799999999998,767.2280000000001,48.0,True,0,0,15.983916666666667
node[84],19.327,0.0,27080.5,27191.0,265.04,675.072,110.0,True,0,0,6.137018181818182
node[88],19.4,0.0,27085.0,27191.0,371.16,1300.52,105.5,True,0,0,12.327203791469195
node[182],19.3202,6.9,27148.0,27195.0,180.481,766.35,46.5,True,0,0,16.480645161290322
node[42],20.5,0.0,27040.5,27195.5,418.981,1415.44,154.5,True,0,0,9.161423948220065
node[165],16.0,3.5,27134.0,27196.0,192.571,860.9639999999999,61.5,True,0,0,13.99941463414634
node[46],18.5,0.0,27049.5,27202.5,363.05400000000003,1211.16,152.5,True,0,0,7.942032786885246
node[60],17.25,0.0,27059.0,27206.0,313.051,989.0310000000001,146.5,True,0,0,6.751064846416383
node[95],19.25,0.0,27088.5,27206.0,283.466,852.672,117.0,True,0,0,7.287794871794872
node[173],21.9425,0.0,27139.0,27206.5,211.192,686.36,67.0,True,0,0,10.244179104477611
node[82],16.3437,0.0,27077.0,27207.0,269.295,928.033,129.5,True,0,0,7.166277992277992
node[103],16.25,0.0,27095.0,27207.0,248.605,635.363,111.5,True,0,0,5.698322869955158
node[71],16.25,0.0,27067.0,27207.0,271.509,641.461,139.5,True,0,0,4.598286738351255
node[212],16.25,6.9,27169.0,27207.0,130.52200000000002,495.532,37.5,True,0,0,13.214186666666667
node[118],15.0,0.0,27109.0,27207.5,212.21200000000002,662.48,98.0,True,0,0,6.76
node[109],19.1067,0.0,27100.5,27207.5,276.62,855.4680000000001,106.5,True,0,0,8.03256338028169
node[168],16.25,0.0,27135.0,27209.0,182.296,640.379,73.5,True,0,0,8.712639455782313
node[110],15.734000000000002,0.0,27101.5,27209.0,234.704,638.332,107.0,True,0,0,5.965719626168224
node[179],16.25,0.0,27145.5,27209.0,179.613,637.886,63.0,True,0,0,10.125174603174603
node[159],18.5,6.33552,27131.5,27211.0,263.996,1099.04,79.0,True,0,0,13.911898734177214
node[160],18.0,0.0,27131.5,27211.0,231.218,866.26,79.0,True,0,0,10.965316455696202
node[29],15.65,0.0,27025.5,27213.5,408.967,1482.87,187.5,True,0,0,7.908639999999999
node[161],18.0,6.96669,27132.0,27214.5,272.202,1148.4,82.0,True,0,0,14.004878048780489
node[117],16.4144,0.0,27108.5,27215.0,256.567,994.882,106.0,True,0,0,9.385679245283018
node[62],22.5,0.0,27061.0,27215.5,422.851,1469.47,154.0,True,0,0,9.542012987012987
node[89],16.25,0.0,27085.0,27223.0,333.51099999999997,1126.41,137.5,True,0,0,8.192072727272729
node[185],16.9,6.9,27150.0,27223.5,210.87900000000002,986.877,73.0,True,0,0,13.51886301369863
node[80],16.9,0.0,27075.0,27224.0,352.158,1141.7,148.5,True,0,0,7.688215488215489
node[150],15.5,0.0,27125.0,27224.0,204.43599999999998,684.716,98.5,True,0,0,6.951431472081218
node[144],15.3,0.0,27120.0,27224.5,236.386,677.1089999999999,104.0,True,0,0,6.510663461538461
node[187],15.85,0.0,27151.5,27226.0,181.6,678.698,74.0,True,0,0,9.171594594594595
node[217],16.25,0.0,27174.5,27228.0,125.686,270.942,53.0,True,0,0,5.11211320754717
node[190],15.85,1.11659,27155.0,27228.5,180.41099999999997,679.5189999999999,73.0,True,0,0,9.308479452054794
node[123],16.25,0.0,27110.5,27229.0,316.409,1358.81,118.0,True,0,0,11.515338983050848
node[178],16.2,0.0,27142.0,27233.0,262.747,858.544,90.5,True,0,0,9.486674033149171
node[114],16.0,0.0,27106.0,27233.0,319.6,1063.31,126.5,True,0,0,8.405612648221343
node[69],16.6389,0.0,27065.5,27233.5,383.85699999999997,1071.45,167.5,True,0,0,6.396716417910448
node[68],21.9686,0.0,27064.5,27235.0,399.224,1073.44,170.0,True,0,0,6.3143529411764705
node[180],16.2887,0.0,27145.5,27235.0,262.027,881.038,89.0,True,0,0,9.899303370786518
node[101],21.5417,0.0,27094.5,27235.5,370.791,1063.38,140.5,True,0,0,7.5685409252669045
node[194],17.45,0.0,27157.5,27235.5,241.45,864.445,77.5,True,0,0,11.154129032258066
node[171],21.5836,0.0,27136.5,27237.0,291.091,1062.98,100.0,True,0,0,10.6298
node[206],15.9127,6.9,27164.5,27237.5,192.766,989.605,72.5,True,0,0,13.649724137931035
node[93],21.5,0.0,27088.0,27238.0,363.713,1066.41,149.5,True,0,0,7.133177257525084
node[203],16.5301,0.0,27163.0,27238.0,247.81400000000002,861.578,74.5,True,0,0,11.564805369127516
node[133],21.178,0.0,27113.5,27238.5,318.376,1064.63,124.5,True,0,0,8.55124497991968
node[246],16.9163,4.6603699999999995,27185.0,27240.5,168.63,688.6089999999999,55.0,True,0,0,12.520163636363636
node[172],21.0,0.0,27138.0,27241.0,323.64099999999996,1065.63,102.5,True,0,0,10.39639024390244
node[243],16.5841,3.5,27182.0,27242.0,210.132,864.078,59.5,True,0,0,14.522319327731092
node[77],21.25,0.0,27070.0,27242.5,438.579,1114.37,172.0,True,0,0,6.4788953488372085
node[104],16.5,0.0,27095.0,27243.0,352.361,1162.19,147.5,True,0,0,7.879254237288136
node[146],15.65,0.0,27121.5,27244.5,265.654,1030.17,122.5,True,0,0,8.409551020408164
node[10],21.6116,0.0,27007.0,27245.0,497.36800000000005,1321.54,237.5,True,0,0,5.564378947368421
node[39],18.5,0.0,27037.0,27246.5,448.43,1096.08,209.0,True,0,0,5.244401913875598
node[36],18.8757,0.0,27033.5,27246.5,482.726,1747.8,212.5,True,0,0,8.224941176470589
node[63],18.0,0.0,27061.0,27247.5,448.05800000000005,1327.68,186.0,True,0,0,7.138064516129033
node[198],18.15,0.0,27160.0,27248.5,239.956,977.096,88.0,True,0,0,11.103363636363637
node[120],17.4692,0.0,27109.0,27249.0,390.43300000000005,1363.71,139.5,True,0,0,9.775698924731183
node[152],19.4884,0.0,27127.0,27249.0,335.022,1052.67,121.5,True,0,0,8.663950617283952
node[129],19.75,0.0,27112.5,27250.0,340.093,993.13,137.0,True,0,0,7.249124087591241
node[40],18.811,0.0,27037.5,27250.5,453.76300000000003,1137.89,212.5,True,0,0,5.354776470588236
node[38],21.3461,0.0,27036.0,27252.0,505.865,1280.8,215.5,True,0,0,5.9433874709976795
node[18],22.25,0.0,27016.0,27253.0,608.091,1409.66,236.5,True,0,0,5.960507399577168
node[262],16.25,0.0,27200.0,27253.5,127.945,279.885,53.0,True,0,0,5.280849056603773
node[322],15.65,6.9,27244.5,27253.5,37.9131,104.936,8.5,True,0,0,12.345411764705883
node[258],16.4313,3.5,27195.0,27256.0,204.801,863.068,60.5,True,0,0,14.265586776859504
node[204],21.9,0.0,27163.0,27256.5,313.749,913.068,93.0,True,0,0,9.817935483870967
node[308],16.25,6.9,27236.5,27258.0,87.3569,277.466,21.0,True,0,0,13.212666666666667
node[32],15.6213,0.0,27029.0,27258.5,477.26199999999994,1545.08,229.0,True,0,0,6.74707423580786
node[132],16.25,0.0,27113.0,27259.0,273.55400000000003,624.678,145.5,True,0,0,4.293319587628866
node[248],16.25,0.0,27186.5,27259.5,183.56,623.906,72.5,True,0,0,8.605599999999999
node[220],21.6136,0.0,27176.0,27260.0,301.216,918.252,83.5,True,0,0,10.99702994011976
node[138],16.25,0.0,27118.5,27261.0,267.374,621.0459999999999,142.0,True,0,0,4.37356338028169
node[300],15.5,5.5,27229.0,27263.5,117.12899999999999,455.60400000000004,34.0,True,0,0,13.400117647058824
node[265],15.1959,3.5,27202.5,27265.5,186.915,856.943,62.5,True,0,0,13.711088
node[154],16.25,0.0,27128.5,27268.0,365.69699999999995,1182.82,139.0,True,0,0,8.509496402877698
node[44],16.0,0.0,27047.5,27268.5,559.636,1848.71,220.5,True,0,0,8.384172335600907
node[158],15.65,0.0,27131.5,27270.5,381.546,1462.94,138.5,True,0,0,10.56274368231047
node[55],15.65,0.0,27055.5,27270.5,523.956,1848.83,214.5,True,0,0,8.619254079254079
node[287],16.25,5.4,27220.5,27270.5,153.53,663.44,49.5,True,0,0,13.402828282828285
node[127],16.3189,0.0,27112.0,27272.0,461.22,1847.87,159.5,True,0,0,11.58539184952978
node[229],20.7409,0.0,27180.0,27272.5,256.029,766.95,92.0,True,0,0,8.336413043478261
node[200],19.75,0.0,27161.0,27273.0,273.716,765.3910000000001,111.5,True,0,0,6.864493273542601
node[215],19.75,0.0,27171.5,27273.5,264.875,772.7739999999999,101.5,True,0,0,7.613536945812807
