Module,/veins-4.4/examples/pveins_providencia/results/60Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:11:15-2568_maxSpeed,/veins-4.4/examples/pveins_providencia/results/60Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:11:15-2568_minSpeed,/veins-4.4/examples/pveins_providencia/results/60Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:11:15-2568_startTime,/veins-4.4/examples/pveins_providencia/results/60Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:11:15-2568_stopTime,/veins-4.4/examples/pveins_providencia/results/60Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:11:15-2568_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/60Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:11:15-2568_totalDistance,/veins-4.4/examples/pveins_providencia/results/60Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:11:15-2568_totalTime
ProvidenciaExampleScenario.node[6].veinsmobility,16.9,6.9,27002.5,27011.5,42.5646,106.517,8.5
ProvidenciaExampleScenario.node[46].veinsmobility,19.4,6.75,27013,27036,86.8589,323.95,22.5
ProvidenciaExampleScenario.node[90].veinsmobility,15.65,6.9,27022.5,27044,74.9921,277.446,21
ProvidenciaExampleScenario.node[73].veinsmobility,22.5,7.1,27018.5,27048.5,148.757,493.128,29.5
ProvidenciaExampleScenario.node[0].veinsmobility,18.5987,6.9,27000.5,27049,171.3,769.415,48
ProvidenciaExampleScenario.node[5].veinsmobility,18.9382,6.9,27002,27050,174.428,770.941,47.5
ProvidenciaExampleScenario.node[9].veinsmobility,18,6.9,27003,27051.5,171.226,777.035,48
ProvidenciaExampleScenario.node[21].veinsmobility,18.4047,6.9,27006.5,27053.5,169.09,754.572,46.5
ProvidenciaExampleScenario.node[126].veinsmobility,18.309,6.75,27030,27054,82.4802,325.049,23.5
ProvidenciaExampleScenario.node[19].veinsmobility,18.3981,6.9,27006,27054.5,171.275,765.77,48
ProvidenciaExampleScenario.node[17].veinsmobility,18.3042,5.9,27005,27055.5,177.884,781.647,50
ProvidenciaExampleScenario.node[80].veinsmobility,16.75,5.5,27020,27057.5,120.058,484.289,37
ProvidenciaExampleScenario.node[44].veinsmobility,18.75,5.5,27012.5,27059,160.514,661.867,46
ProvidenciaExampleScenario.node[208].veinsmobility,14.1,5.4,27049.5,27060.5,37.2451,103.323,10.5
ProvidenciaExampleScenario.node[27].veinsmobility,15.65,6.9,27007.5,27061,171.85,691.771,53
ProvidenciaExampleScenario.node[43].veinsmobility,14.4268,0,27012.5,27063.5,109.354,272.337,50.5
ProvidenciaExampleScenario.node[68].veinsmobility,19.25,6.9,27017.5,27064,182.555,767.195,46
ProvidenciaExampleScenario.node[28].veinsmobility,16.25,3.5,27007.5,27066,190.792,855.017,58
ProvidenciaExampleScenario.node[60].veinsmobility,17.8773,6.9,27016.5,27067,158.754,767.809,50
ProvidenciaExampleScenario.node[78].veinsmobility,19.25,6.9,27019.5,27067.5,178.741,779.634,47.5
ProvidenciaExampleScenario.node[25].veinsmobility,15.5,0,27007,27068.5,174.171,643.258,61
ProvidenciaExampleScenario.node[96].veinsmobility,18.9383,6.9,27023,27070.5,172.218,758.175,47
ProvidenciaExampleScenario.node[82].veinsmobility,19.0946,2.35,27020,27071.5,193.819,785.63,51
ProvidenciaExampleScenario.node[104].veinsmobility,19.5748,6.9,27025.5,27072,184.675,767.935,46
ProvidenciaExampleScenario.node[31].veinsmobility,15.65,0,27008.5,27073.5,175.531,491.251,64.5
ProvidenciaExampleScenario.node[109].veinsmobility,19.25,6.9,27027,27074.5,176.917,772.906,47
ProvidenciaExampleScenario.node[34].veinsmobility,17.1015,0,27009.5,27074.5,212.319,888.135,64.5
ProvidenciaExampleScenario.node[57].veinsmobility,16.9,0,27016,27075,163.552,484.765,58.5
ProvidenciaExampleScenario.node[125].veinsmobility,19.25,6.9,27030,27076,171.162,751.198,45.5
ProvidenciaExampleScenario.node[110].veinsmobility,19.25,6.3979,27027.5,27077.5,184.938,779.393,49.5
ProvidenciaExampleScenario.node[127].veinsmobility,19.25,6.9,27031,27078,172.784,765.292,46.5
ProvidenciaExampleScenario.node[41].veinsmobility,16.5,0,27011.5,27078,212.749,899.311,66
ProvidenciaExampleScenario.node[121].veinsmobility,19.25,6.9,27029.5,27079,176.125,781.409,49
ProvidenciaExampleScenario.node[74].veinsmobility,15.65,0,27019,27079.5,144.384,494.923,60
ProvidenciaExampleScenario.node[133].veinsmobility,18,6.9,27032.5,27081,171.781,779.295,48
ProvidenciaExampleScenario.node[70].veinsmobility,15.1392,3.5,27018,27081.5,190.245,863.05,63
ProvidenciaExampleScenario.node[119].veinsmobility,19.25,6.9,27029,27082,194.133,848.202,52.5
ProvidenciaExampleScenario.node[186].veinsmobility,16.25,5.4,27044,27083.5,132.145,486.627,39
ProvidenciaExampleScenario.node[100].veinsmobility,15.0388,3.5,27023.5,27085,189.078,840.793,61
ProvidenciaExampleScenario.node[101].veinsmobility,16.25,6.9,27024.5,27086,178.052,865.559,61
ProvidenciaExampleScenario.node[167].veinsmobility,17.5,4.61031,27040.5,27086.5,137.42,498.273,45.5
ProvidenciaExampleScenario.node[38].veinsmobility,15.4807,0,27011,27087,201.514,903.998,75.5
ProvidenciaExampleScenario.node[13].veinsmobility,16.6045,0,27004,27087,200.129,658.032,82.5
ProvidenciaExampleScenario.node[18].veinsmobility,16.25,0,27006,27087,190.601,634.784,80.5
ProvidenciaExampleScenario.node[11].veinsmobility,16.25,0,27003.5,27087,204.605,635.924,83
ProvidenciaExampleScenario.node[214].veinsmobility,16.75,5.5,27051,27088,119.529,479.718,36.5
ProvidenciaExampleScenario.node[39].veinsmobility,16.25,0,27011.5,27089,186.479,615.996,77
ProvidenciaExampleScenario.node[72].veinsmobility,15.7222,0,27018.5,27089,182.157,651.428,70
ProvidenciaExampleScenario.node[23].veinsmobility,16.25,0,27007,27089,193.204,665.927,81.5
ProvidenciaExampleScenario.node[113].veinsmobility,16.3249,6.9,27028,27089,186.471,861.51,60.5
ProvidenciaExampleScenario.node[8].veinsmobility,20.9772,0,27003,27090,248.635,680.225,86.5
ProvidenciaExampleScenario.node[287].veinsmobility,10.1734,0,27069,27090.5,45.057,117.121,21
ProvidenciaExampleScenario.node[106].veinsmobility,16.9,2.15171,27026,27090.5,177.242,638.665,64
ProvidenciaExampleScenario.node[120].veinsmobility,16.25,0,27029.5,27090.5,176.633,637.871,60.5
ProvidenciaExampleScenario.node[55].veinsmobility,15.65,0,27015.5,27091,179.727,641.288,75
ProvidenciaExampleScenario.node[89].veinsmobility,16.25,0,27022,27091,208.67,879.255,68.5
ProvidenciaExampleScenario.node[299].veinsmobility,10.4022,0.956152,27071.5,27092.5,45.8384,110.107,20.5
ProvidenciaExampleScenario.node[63].veinsmobility,21.0726,0,27017,27092.5,216.238,684.458,75
ProvidenciaExampleScenario.node[145].veinsmobility,16.25,3.58514,27035.5,27092.5,171.012,637.134,56.5
ProvidenciaExampleScenario.node[176].veinsmobility,16.25,6.9,27042.5,27093,154.616,634.597,50
ProvidenciaExampleScenario.node[112].veinsmobility,15.65,0,27028,27093,168.122,654.606,64.5
ProvidenciaExampleScenario.node[108].veinsmobility,15.6842,0.294396,27026.5,27093,207.361,879.374,66
ProvidenciaExampleScenario.node[228].veinsmobility,16.8315,4.62108,27054.5,27094,141.219,492.661,39
ProvidenciaExampleScenario.node[152].veinsmobility,16.3531,1.82745,27036.5,27094.5,168.693,634.355,57.5
ProvidenciaExampleScenario.node[65].veinsmobility,16.05,2.92981,27017.5,27095,215.737,991.827,77
ProvidenciaExampleScenario.node[237].veinsmobility,16.25,2.68734,27056.5,27096,145.102,499.585,39
ProvidenciaExampleScenario.node[163].veinsmobility,17.25,3.5,27038,27096.5,209.649,858.477,58
ProvidenciaExampleScenario.node[161].veinsmobility,15.7321,2.35522,27038,27097,162.666,634.159,58.5
ProvidenciaExampleScenario.node[206].veinsmobility,15.6458,6.9,27049.5,27098,142.228,639.373,48
ProvidenciaExampleScenario.node[246].veinsmobility,16.2189,4.71084,27059,27098,134.368,486.451,38.5
ProvidenciaExampleScenario.node[169].veinsmobility,17.2197,3.5,27040.5,27099.5,207.835,861.989,58.5
ProvidenciaExampleScenario.node[33].veinsmobility,15.65,0,27009.5,27102,196.678,677.855,92
ProvidenciaExampleScenario.node[50].veinsmobility,15.4611,0,27013.5,27103.5,254.406,909.524,89.5
ProvidenciaExampleScenario.node[37].veinsmobility,16.25,0,27010.5,27104.5,289.159,1090.9,93.5
ProvidenciaExampleScenario.node[124].veinsmobility,15.5738,0,27030,27106,184.142,680.396,75.5
ProvidenciaExampleScenario.node[188].veinsmobility,16.25,3.07513,27044,27110,186.605,699.344,65.5
ProvidenciaExampleScenario.node[207].veinsmobility,16.4568,2.23478,27049.5,27112,185.388,689.438,62
ProvidenciaExampleScenario.node[95].veinsmobility,21.5,0,27023,27115,291.479,1058.23,91.5
ProvidenciaExampleScenario.node[75].veinsmobility,21.6053,0,27019,27115.5,313.447,1064.07,96
ProvidenciaExampleScenario.node[154].veinsmobility,16.25,0,27037,27116,130.039,271.76,78.5
ProvidenciaExampleScenario.node[166].veinsmobility,16.25,0,27040,27118,137.178,278.066,77.5
ProvidenciaExampleScenario.node[463].veinsmobility,15.65,6.9,27111.5,27120.5,37.8025,105.228,8.5
ProvidenciaExampleScenario.node[54].veinsmobility,17.5,4.63206,27015,27123.5,382.379,1556.45,108
ProvidenciaExampleScenario.node[2].veinsmobility,15.7307,0,27001.5,27124.5,268.366,1039.51,122.5
ProvidenciaExampleScenario.node[1].veinsmobility,22.5,0,27000.5,27126.5,433.181,1305.46,125.5
ProvidenciaExampleScenario.node[111].veinsmobility,19.25,0,27027.5,27126.5,314.953,1122.35,98.5
ProvidenciaExampleScenario.node[40].veinsmobility,15.65,0,27011.5,27127.5,279.747,1031.5,115.5
ProvidenciaExampleScenario.node[10].veinsmobility,18.15,0,27003,27128,291.428,974.67,124.5
ProvidenciaExampleScenario.node[58].veinsmobility,16.25,0,27016,27128.5,273.23,1031.87,112
ProvidenciaExampleScenario.node[22].veinsmobility,19.4,0,27006.5,27129,296.516,982.329,122
ProvidenciaExampleScenario.node[273].veinsmobility,16.6709,5.17092,27065.5,27129.5,208.122,865.564,63.5
ProvidenciaExampleScenario.node[42].veinsmobility,16.3575,0,27012,27129.5,312.631,1054.57,117
ProvidenciaExampleScenario.node[88].veinsmobility,18.5852,0,27022,27130,285.18,1003.92,107.5
ProvidenciaExampleScenario.node[61].veinsmobility,19.75,0,27016.5,27130,339.27,1112.15,113
ProvidenciaExampleScenario.node[52].veinsmobility,19.4,0,27014.5,27130.5,295.431,977.899,115.5
ProvidenciaExampleScenario.node[261].veinsmobility,18.938,0,27062.5,27130.5,196.171,662.952,67.5
ProvidenciaExampleScenario.node[79].veinsmobility,18.5563,0,27020,27130.5,295.776,989.409,110
ProvidenciaExampleScenario.node[117].veinsmobility,20.0684,0,27028.5,27131.5,271.396,981.521,102.5
ProvidenciaExampleScenario.node[116].veinsmobility,16.25,1.03517,27028.5,27132,257.654,1035.13,103
ProvidenciaExampleScenario.node[47].veinsmobility,22.5,0,27013.5,27133,460.852,1288.65,119
ProvidenciaExampleScenario.node[362].veinsmobility,16.25,0,27089,27133.5,119.298,282.838,44
ProvidenciaExampleScenario.node[48].veinsmobility,17.45,0,27013.5,27133.5,344.216,1318.3,119.5
ProvidenciaExampleScenario.node[87].veinsmobility,16.6,0,27021.5,27134.5,321.749,1189.45,112.5
ProvidenciaExampleScenario.node[97].veinsmobility,21.75,0,27023.5,27135.5,391.893,1283.03,111.5
ProvidenciaExampleScenario.node[175].veinsmobility,19.4,0,27042,27135.5,276.279,980.934,93
ProvidenciaExampleScenario.node[29].veinsmobility,15.65,-11.0242,27008,27135.5,356.852,1040.88,127
ProvidenciaExampleScenario.node[179].veinsmobility,18.7962,0,27043,27136.5,272.698,980.329,93
ProvidenciaExampleScenario.node[230].veinsmobility,16.2613,6.27198,27054.5,27136.5,225.417,1036.48,81.5
ProvidenciaExampleScenario.node[200].veinsmobility,19.3175,0,27046.5,27137,240.133,974.078,90
ProvidenciaExampleScenario.node[236].veinsmobility,21.85,0,27056,27137,288.062,888.207,80.5
ProvidenciaExampleScenario.node[83].veinsmobility,15.65,0,27020.5,27137,264.803,788.108,116
ProvidenciaExampleScenario.node[134].veinsmobility,16.387,2.44341,27032.5,27137.5,304.181,1325.18,104.5
ProvidenciaExampleScenario.node[20].veinsmobility,16.25,0,27006.5,27139,259.534,623.892,132
ProvidenciaExampleScenario.node[114].veinsmobility,15.65,0,27028,27139.5,232.751,621.542,111
ProvidenciaExampleScenario.node[67].veinsmobility,16.3782,0,27017.5,27140,248.893,621.08,122
ProvidenciaExampleScenario.node[428].veinsmobility,15,5.5,27103.5,27140.5,115.655,457.631,36.5
ProvidenciaExampleScenario.node[107].veinsmobility,16.25,0,27026,27141,310.508,1033.46,114.5
ProvidenciaExampleScenario.node[213].veinsmobility,15,0,27050.5,27142,203.182,619.749,91
ProvidenciaExampleScenario.node[14].veinsmobility,15.65,0,27004.5,27142,258.501,660.501,137
ProvidenciaExampleScenario.node[223].veinsmobility,16.25,0,27053.5,27143,211.893,625.248,89
ProvidenciaExampleScenario.node[189].veinsmobility,16.25,0,27044,27143,275.195,1038.18,98.5
ProvidenciaExampleScenario.node[375].veinsmobility,16.25,4.11629,27091,27143.5,165.271,622.893,52
ProvidenciaExampleScenario.node[12].veinsmobility,15.65,0,27003.5,27143.5,327.221,1067.82,139.5
ProvidenciaExampleScenario.node[159].veinsmobility,15.4383,0,27037.5,27144,224.995,664.829,106
ProvidenciaExampleScenario.node[210].veinsmobility,18.2936,0,27050,27144.5,275.338,1085.31,94
ProvidenciaExampleScenario.node[218].veinsmobility,22.8783,0,27052,27145.5,417.012,1231.46,93
ProvidenciaExampleScenario.node[343].veinsmobility,16.25,1.06478,27083.5,27145.5,170.621,661.413,61.5
ProvidenciaExampleScenario.node[45].veinsmobility,16.25,0,27012.5,27145.5,336.717,1075.45,132.5
ProvidenciaExampleScenario.node[102].veinsmobility,21.9,0,27025,27146,306.99,850.044,120.5
ProvidenciaExampleScenario.node[3].veinsmobility,21.2414,0,27001.5,27146.5,326.914,844.023,144.5
ProvidenciaExampleScenario.node[254].veinsmobility,16.6889,0,27060,27146.5,286.269,889.106,86
ProvidenciaExampleScenario.node[271].veinsmobility,16.2186,0.290624,27065,27146.5,272.326,895.359,81
ProvidenciaExampleScenario.node[240].veinsmobility,16.0855,0,27057,27147.5,257.745,868.112,90
ProvidenciaExampleScenario.node[86].veinsmobility,16.25,0,27021.5,27148,394.44,1470.81,126
ProvidenciaExampleScenario.node[132].veinsmobility,16.25,0,27032,27148,245.881,876.687,115.5
ProvidenciaExampleScenario.node[30].veinsmobility,16,0,27008,27148.5,417.072,1737.74,140
ProvidenciaExampleScenario.node[144].veinsmobility,17.5,0,27035.5,27149.5,275.779,790.838,113.5
ProvidenciaExampleScenario.node[235].veinsmobility,16.1243,0,27055.5,27149.5,273.56,897.355,93.5
ProvidenciaExampleScenario.node[311].veinsmobility,16.5301,0,27074.5,27150,243.466,867.87,75
